Comment,Designator,Footprint,LCSC
"22 uF, 6.3V, X5R",C48,C_1206_3216Metric,C12891
12MHz,Y3,Crystal_SMD_3225-4Pin_3.2x2.5mm,C133334
1 nF,C45,C_0402_1005Metric,C1523
"100 nF, >10V, X6S","C10,C11,C12,C13,C15,C17,C18,C19,C4,C40,C42,C44,C5,C6,C7,C8,C9",C_0402_1005Metric,C1525
12 pF,"C1,C2",C_0402_1005Metric,C1547
BM03B-SRSS-TBLFSN,J13,CONN_BM03B-SRSS-TBLFSN_JST,C160389
SM04B-SRSS-TB(LF)(SN),"J3,J4",JST_SM04B-SRSS-TB_LF__SN_,C160404
10K,"R10,R32,R9",R_1206_3216Metric,C17902
120R,R37,R_1206_3216Metric,C17909
"1 uF, >6.3V, X5R",C46,C_1206_3216Metric,C1848
D_Schottky,D2,D_SOD-323,C191023
RP2040,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
DMN63D8LDW,"Q7,Q8",SOT-363_SC-70-6,C211422
KT-0603W,D1,LED_0603_1608Metric,C2290
"100 nF, >10V, X6S",C47,C_1206_3216Metric,C24497
100R,"R33,R34",R_0402_1005Metric,C25076
120R,R2,R_0402_1005Metric,C25079
27R,"R5,R6",R_0603_1608Metric,C25190
10K,"R20,R21,R22,R23,R24,R25,R26,R27,R29,R30,R31,R36,R7,R8",R_0402_1005Metric,C25744
27K,R4,R_0402_1005Metric,C25771
2K7 1% ,R35,R_0402_1005Metric,C25885
4K7,"R1,R28,R3",R_0402_1005Metric,C25900
5K1,"R38,R39",R_0402_1005Metric,C25905
6K8,R19,R_0402_1005Metric,C25917
"51R, Precision","R13,R14,R17,R18",R_1206_3216Metric,C2828901
USB_C_Receptacle_USB2.0,J14,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,C2988369
"680 pF, C0G","C23,C24,C25,C29,C30,C31",C_1206_3216Metric,C326939
4.7 µH,L1,L_Sunlord_MWSA0402S,C408337
"10 µF, >10V, X5R","C16,C20,C34,C36,C43",C_0805_2012Metric,C440198
AP3012,U3,SOT-23-5,C460356
TLV75733PDBVR,U6,SOT-23-5,C485517
KT-1206R,D3,LED_1206_3216Metric,C49018
NAU7802SGI,"U2,U5",SOP-16_4.4x10.4mm_P1.27mm,C5180029
XYDBPCNANF-12MHZ,Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,C521567
"1 uF, >10V, X5R","C14,C3,C33,C35,C37,C38,C39,C41,C49,C50",C_0402_1005Metric,C52923
ESP32-C6-WROOM-1,U9,ESP32-C6-WROOM-1,C5366877
ADM7170ACPZ-1.8-R7,U7,SON50P300X300X80-9N,C658474
FE1.1s (Rev B),U8,SSOP-28_3.9x9.9mm_P0.635mm,C6706491
LTC4316CMS_PBF,U4,MSOP-10_3x3mm_P0.5mm,C688145
Molex 0527451897,J1,CON_527461871_MOL,C7153842
2N7002,"Q2,Q3",SOT-23-3,C8545
SW_Push,"SW1,SW2,SW3,SW4",SW4_PTS815 SJM 250 SMTR LFS_CNK,C918859
W25Q128JVS,U12,SOIC-8_5.23x5.23mm_P1.27mm,C97521
"100 nF, C0G","C26,C32",C_1206_3216Metric,C97946
